Model,No-load test,Propellers,Voltage (v),Current (A),thrust (g),Power (W),Efficiency (g/W)
SE0802 KV19000,0.24A 28620RPM 1.5V 19080KV,55mm 2-blades Propeller,3.8,1.05,11.9,3.99,2.982
SE0802 KV19000,0.24A 28620RPM 1.5V 19080KV,55mm 2-blades Propeller,3.8,2.08,20.5,7.904,2.594
SE0802 KV19000,0.24A 28620RPM 1.5V 19080KV,55mm 2-blades Propeller,3.8,3.05,27.1,11.59,2.338
SE0802 KV19000,0.24A 28620RPM 1.5V 19080KV,55mm 2-blades Propeller,3.8,4.11,32.3,15.618,2.068
SE0802 KV19000,0.24A 28620RPM 1.5V 19080KV,55mm 2-blades Propeller,3.7,4.25,33.9,15.725,2.156
SE0802 KV19000,0.3A 26460RPM 1.5V 18430KV,31mm 4-blades propeller,4.2,1.18,11.4,4.956,2.3
SE0802 KV19000,0.3A 26460RPM 1.5V 18430KV,31mm 4-blades propeller,4.2,1.97,16.7,8.274,2.018
SE0802 KV19000,0.3A 26460RPM 1.5V 18430KV,31mm 4-blades propeller,4.2,3.15,23.9,13.23,1.807
SE0802 KV19000,0.3A 26460RPM 1.5V 18430KV,31mm 4-blades propeller,4.2,3.42,24.6,14.364,1.713
SE0802 KV25000,0.45A 50840RPM 2v 25420KV,Gemfan 1219-3 30mm 3-blades,3.7,1.02,7.1,3.774,1.881
SE0802 KV25000,0.45A 50840RPM 2v 25420KV,Gemfan 1219-3 30mm 3-blades,3.7,1.95,13.5,7.215,1.871
SE0802 KV25000,0.45A 50840RPM 2v 25420KV,Gemfan 1219-3 30mm 3-blades,3.7,2.92,19.4,10.804,1.796
SE0802 KV25000,0.45A 50840RPM 2v 25420KV,Gemfan 1219-3 30mm 3-blades,3.7,4.05,25.6,14.985,1.708
SE0802 KV25000,0.45A 50840RPM 2v 25420KV,Gemfan 1219-3 30mm 3-blades,3.7,4.34,26.7,16.058,1.663
SE0802 KV25000,0.45A 50840RPM 2v 25420KV,40mm 4-blades propeller,2.6,1.02,7.6,2.652,2.866
SE0802 KV25000,0.45A 50840RPM 2v 25420KV,40mm 4-blades propeller,2.6,1.99,13.2,5.174,2.551
SE0802 KV25000,0.45A 50840RPM 2v 25420KV,40mm 4-blades propeller,2.6,2.99,18.9,7.774,2.431
SE0802 KV25000,0.45A 50840RPM 2v 25420KV,40mm 4-blades propeller,2.6,3.98,23.4,10.348,2.261
SE0802 KV25000,0.45A 50840RPM 2v 25420KV,40mm 4-blades propeller,2.6,4.53,25.2,11.778,2.14
